run_id,num_blocks,hidden_units,num_heads,maxlen,train_exit_code,eval_exit_code,val_recall@10,val_recall@20,val_ndcg@10,val_ndcg@20,test_recall@10,test_recall@20,test_ndcg@10,test_ndcg@20
1,1,64,1,50,0,0,0.050049,0.081537,0.023419,0.031276,0.039774,0.071594,0.020003,0.027922
2,1,64,1,100,0,0,0.049386,0.083526,0.024688,0.033261,0.041763,0.07176,0.020632,0.02813
3,1,64,1,200,0,0,0.048558,0.083029,0.022839,0.031386,0.04226,0.072091,0.020753,0.028195
4,1,64,2,50,0,0,0.049055,0.080875,0.02406,0.032034,0.042591,0.070268,0.021343,0.02829
5,1,64,2,100,0,0,0.047398,0.081372,0.022832,0.031325,0.038448,0.070268,0.018877,0.026913
6,1,64,2,200,0,0,0.049055,0.082366,0.023249,0.031551,0.041763,0.072257,0.020114,0.027697
7,1,64,4,50,0,0,0.048889,0.083692,0.023213,0.031988,0.040934,0.072091,0.019569,0.027352
8,1,64,4,100,0,0,0.049221,0.083195,0.024003,0.032511,0.040437,0.07408,0.019749,0.028149
9,1,64,4,200,0,0,0.047895,0.082863,0.022685,0.031392,0.042094,0.071428,0.020553,0.02783
10,1,128,1,50,0,0,0.051541,0.083858,0.02614,0.034234,0.043752,0.074411,0.021237,0.028898
11,1,128,1,100,0,0,0.048723,0.082863,0.024761,0.033311,0.039443,0.067782,0.019409,0.026466
12,1,128,1,200,0,0,0.049221,0.079549,0.024755,0.032389,0.043254,0.070102,0.020695,0.027446
13,1,128,2,50,0,0,0.049386,0.081537,0.025569,0.033648,0.04342,0.071925,0.021102,0.028192
14,1,128,2,100,0,0,0.051209,0.081869,0.023897,0.031634,0.037785,0.070599,0.016898,0.025144
15,1,128,2,200,0,0,0.049883,0.081537,0.024797,0.032744,0.041431,0.068611,0.020131,0.027002
16,1,128,4,50,0,0,0.049386,0.081703,0.025898,0.033963,0.042094,0.073748,0.021387,0.029287
17,1,128,4,100,0,0,0.050215,0.084355,0.023645,0.032199,0.037454,0.070102,0.018109,0.026284
18,1,128,4,200,0,0,0.048889,0.084023,0.024157,0.032935,0.043254,0.074908,0.02061,0.028541
19,1,256,1,50,0,0,0.045906,0.077394,0.023611,0.031471,0.03878,0.067616,0.01661,0.023921
20,1,256,1,100,0,0,0.048723,0.081537,0.0251,0.033386,0.039443,0.069439,0.016902,0.024481
21,1,256,1,200,0,0,0.045575,0.07408,0.023571,0.030746,0.039277,0.066622,0.017173,0.024076
22,1,256,2,50,0,0,0.046072,0.07988,0.02157,0.030045,0.03994,0.069605,0.017447,0.02485
23,1,256,2,100,0,0,0.047066,0.079549,0.023137,0.031239,0.038945,0.067948,0.016564,0.023825
24,1,256,2,200,0,0,0.045409,0.073085,0.023423,0.030323,0.035299,0.058833,0.016209,0.022131
25,1,256,4,50,0,0,0.045409,0.07408,0.021773,0.029012,0.03646,0.063142,0.016065,0.022759
26,1,256,4,100,0,0,0.048558,0.08336,0.023865,0.032569,0.041266,0.071262,0.017495,0.025066
27,1,256,4,200,0,0,0.045906,0.0764,0.024074,0.031715,0.041763,0.067451,0.019312,0.025684
28,2,64,1,50,0,0,0.049552,0.08104,0.023798,0.031654,0.041763,0.072091,0.020527,0.028036
29,2,64,1,100,0,0,0.048558,0.082532,0.023315,0.031811,0.040934,0.071097,0.020088,0.027636
30,2,64,1,200,0,0,0.047232,0.078223,0.023095,0.03087,0.040603,0.070599,0.020339,0.027878
31,2,64,2,50,0,0,0.047563,0.081206,0.022581,0.030979,0.041763,0.073583,0.02038,0.028361
32,2,64,2,100,0,0,0.049883,0.08104,0.024347,0.03217,0.040934,0.072422,0.020005,0.027944
33,2,64,2,200,0,0,0.048558,0.082532,0.023351,0.031863,0.040768,0.07292,0.020623,0.02864
34,2,64,4,50,0,0,0.048889,0.079549,0.023803,0.031551,0.041929,0.07408,0.020416,0.028484
35,2,64,4,100,0,0,0.047895,0.077891,0.023473,0.03096,0.03878,0.068776,0.01976,0.027297
36,2,64,4,200,0,0,0.04574,0.080046,0.023013,0.031647,0.040437,0.070102,0.020588,0.027991
37,2,128,1,50,0,0,0.049718,0.083029,0.026073,0.034436,0.040934,0.074411,0.020368,0.028807
38,2,128,1,100,0,0,0.048889,0.081372,0.02485,0.032994,0.040106,0.071428,0.020171,0.027982
39,2,128,1,200,0,0,0.051706,0.082532,0.024363,0.032098,0.044083,0.075571,0.019576,0.027467
40,2,128,2,50,0,0,0.049718,0.084355,0.026366,0.035051,0.040934,0.073583,0.021516,0.029668
41,2,128,2,100,0,0,0.050049,0.085183,0.022644,0.031455,0.042757,0.073417,0.018586,0.026253
